trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.002, 'e': 0.5649999999999996}",30,12,-14.184793427437327,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.002, 'e': 0.5599999999999996}",25,12,-25.70484973986686,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
89,False,"{'a': 0.002, 'e': 0.5549999999999996}",25,0,6.860073329124679,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.002, 'e': 0.5499999999999996}",20,0,-9.63609158398608,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
91,False,"{'a': 0.002, 'e': 0.5449999999999996}",20,0,-29.907417938276893,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
92,False,"{'a': 0.002, 'e': 0.5399999999999996}",30,11,-30.38310892886684,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
93,False,"{'a': 0.002, 'e': 0.5349999999999996}",20,3,20.583751443341505,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.002, 'e': 0.5299999999999996}",20,0,-123.70692846506334,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
95,False,"{'a': 0.002, 'e': 0.5249999999999996}",30,6,-70.16898702602619,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 2}",1
96,False,"{'a': 0.002, 'e': 0.5199999999999996}",30,21,5.233556768572895,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.002, 'e': 0.5149999999999996}",20,14,-33.95600037869582,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.002, 'e': 0.5099999999999996}",25,7,15.369901102918051,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.002, 'e': 0.5049999999999996}",25,6,-64.403585050161,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
100,False,"{'a': 0.002, 'e': 0.49999999999999956}",20,2,24.97429085919631,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.002, 'e': 0.49499999999999955}",25,7,-65.99232265896009,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
102,False,"{'a': 0.002, 'e': 0.48999999999999955}",20,11,5.854069876615581,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.002, 'e': 0.48499999999999954}",25,0,8.321377530858307,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.002, 'e': 0.47999999999999954}",25,16,6.4950942605662965,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.002, 'e': 0.47499999999999953}",30,0,-12.176598960255038,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
106,False,"{'a': 0.002, 'e': 0.46999999999999953}",20,14,15.104808870535509,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.002, 'e': 0.4649999999999995}",25,2,-11.40623893780608,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.002, 'e': 0.4599999999999995}",25,0,-36.6475979426187,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
109,False,"{'a': 0.002, 'e': 0.4549999999999995}",30,1,-15.088969919941723,"{0: 23, 1: 5, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.002, 'e': 0.4499999999999995}",20,12,-27.286914764583056,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.002, 'e': 0.4449999999999995}",30,15,0.044606689377245434,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
